treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production
treatment company 1,-32.279999,19148,6443,3/1/2018,operator 1,11966,4368.4629,6.33,12,1093,30123.2,0.68,0.02,0.34,0.85,5,0.42,13592.23,6950.44,30.82,4149,,83,56,21568792,1.23,5614.947951
treatment company 2,-19.799999,15150,7602,7/1/2014,operator 2,6890,4714.9922,1.28,4,0,30951.61,1.85,0.17,0.19,0.69,4.22,0.74,11735.04,7162.45,29.72,5776,,102,33,9841307,1.47,2188.836707
treatment company 3,-26.879999,14950,5907,8/1/2018,operator 1,8793,798.92096,2.03,6,3254,28900.25,0.29,0.02,0.33,,4.69,0.61,13227.81,6976.93,30.99,4628,,88,62,17116240,1.67,1450.033022
treatment company 4,-49.099998,11098,6538,1/1/2012,operator 1,4234,,6,23,7470,32826.08,0.73,0.03,0.2,,4.4,0.56,12646.34,6799.37,26.2,4582,,100,11,3749559,0.77,1060.764407
treatment company 5,5.5599999,10549,7024,1/1/2012,operator 3,2972,2967.563,11.87,9,3637,26740.05,0.47,0.02,0.33,0.8,4.66,0.58,13192.18,7046.91,31.18,4909,,94,9,6690705,1.32,607.5303846
treatment company 6,-36.990002,13254,7956,7/1/2014,operator 4,4838,2108.2561,2.49,7,3099,30416.95,0.07,0.03,0.34,,4.74,0.85,12928.82,6914.76,30.94,,,97,21,6322010,0.85,1251.606147
treatment company 7,-36.669998,15212,7878,2/1/2016,operator 4,7025,747.45044,2.89,6,6153,34904.61,0.35,,0.33,,4.78,0.73,12789.52,7103.51,31.64,5808,,89,45,15897798,1.09,2719.967368
treatment company 8,0.17,12283,6399,8/1/2013,operator 4,5190,3230.9746,6.37,10,0,35143.87,0.47,0.02,0.33,,4.65,0.58,13177.63,7045.44,31.18,4214,,82,19,7720984,1.16,709.2709608
treatment company 9,-32.98,16892,6822,1/1/2016,operator 5,9673,3658.4426,13.68,15,6578,35153.91,1.18,0.05,0.34,,3.92,1.77,12472.19,6518.9,29.82,5258,,70,48,11794115,0.93,3026.278863
treatment company 10,-48.709999,17134,7394,7/1/2013,operator 4,8996,1537.6284,6.7,11,0,28125.24,0.36,0.03,0.33,0.87,4.64,0.62,12951,7067.79,31.36,5694,,71,54,8373132,0.46,3445.939647
treatment company 11,-28.09,13155,7914,7/1/2012,operator 6,5049,3045.8044,13.39,8,4808,34279.87,1.4,0.08,0.22,,3.98,0.61,12070.16,6813.06,27.57,4828,9120,74,9,6001695,1.32,1664.355062
treatment company 3,-27.33,17888,7437,3/1/2015,operator 5,9864,4047.5227,3.09,12,635,27153.3,1.29,,0.34,,4.28,1.79,12208.36,6421.66,29.61,5213,5554,64,49,11430950,0.87,2633.709408
